nohup: ignoring input
训练次数：3650, Loss: 0.17338435351848602
训练次数：3660, Loss: 0.05485965684056282
训练次数：3670, Loss: 0.19489170610904694
训练次数：3680, Loss: 0.05080335587263107
训练次数：3690, Loss: 0.060805801302194595
训练次数：3700, Loss: 0.055244866758584976
训练次数：3710, Loss: 0.05813046544790268
训练次数：3720, Loss: 0.03452537953853607
训练次数：3730, Loss: 0.05181179568171501
训练次数：3740, Loss: 0.039888590574264526
训练次数：3750, Loss: 0.07485359162092209
训练次数：3760, Loss: 0.33304765820503235
训练次数：3770, Loss: 0.05007912591099739
训练次数：3780, Loss: 0.047109007835388184
训练次数：3790, Loss: 0.04215628653764725
训练次数：3800, Loss: 0.13762079179286957
训练次数：3810, Loss: 0.09648989886045456
训练次数：3820, Loss: 0.47426798939704895
训练次数：3830, Loss: 0.06258571892976761
训练次数：3840, Loss: 0.08042563498020172
训练次数：3850, Loss: 0.05942138656973839
训练次数：3860, Loss: 0.06797719746828079
训练次数：3870, Loss: 0.02741783857345581
训练次数：3880, Loss: 0.10970750451087952
训练次数：3890, Loss: 0.05651817098259926
训练次数：3900, Loss: 0.05017419531941414
训练次数：3910, Loss: 0.08739858865737915
训练次数：3920, Loss: 0.034949831664562225
训练次数：3930, Loss: 0.06198421120643616
训练次数：3940, Loss: 0.29381340742111206
训练次数：3950, Loss: 0.07580133527517319
训练次数：3960, Loss: 0.08627280592918396
训练次数：3970, Loss: 0.04847427085042
训练次数：3980, Loss: 0.05620197951793671
训练次数：3990, Loss: 0.04031779244542122
训练次数：4000, Loss: 0.06551533192396164
训练次数：4010, Loss: 0.057439595460891724
训练次数：4020, Loss: 0.2275671809911728
训练次数：4030, Loss: 0.04859432578086853
训练次数：4040, Loss: 0.06727953255176544
训练次数：4050, Loss: 0.040729667991399765
训练次数：4060, Loss: 0.06909818202257156
训练次数：4070, Loss: 0.1014329120516777
训练次数：4080, Loss: 0.051368698477745056
训练次数：4090, Loss: 0.05945554003119469
训练次数：4100, Loss: 0.03981998190283775
训练次数：4110, Loss: 0.17051750421524048
训练次数：4120, Loss: 0.04153883457183838
训练次数：4130, Loss: 0.06635899841785431
训练次数：4140, Loss: 0.10023193806409836
训练次数：4150, Loss: 0.04795125871896744
训练次数：4160, Loss: 0.0554925836622715
训练次数：4170, Loss: 0.12396910041570663
训练次数：4180, Loss: 0.03314322605729103
训练次数：4190, Loss: 0.09402373433113098
训练次数：4200, Loss: 0.04256946220993996
训练次数：4210, Loss: 0.10763922333717346
训练次数：4220, Loss: 0.04596734046936035
训练次数：4230, Loss: 0.16746723651885986
训练次数：4240, Loss: 0.05345110967755318
训练次数：4250, Loss: 0.05945822596549988
训练次数：4260, Loss: 0.06778807193040848
训练次数：4270, Loss: 0.08219224214553833
训练次数：4280, Loss: 0.06360343098640442
训练次数：4290, Loss: 0.042499467730522156
训练次数：4300, Loss: 0.05189335718750954
训练次数：4310, Loss: 0.10204983502626419
训练次数：4320, Loss: 0.03429430350661278
训练次数：4330, Loss: 0.09496240317821503
训练次数：4340, Loss: 0.0438208244740963
训练次数：4350, Loss: 0.060992173850536346
训练次数：4360, Loss: 0.044354721903800964
训练次数：4370, Loss: 0.049364492297172546
训练次数：4380, Loss: 0.05127645656466484
训练次数：4390, Loss: 0.07596798986196518
训练次数：4400, Loss: 0.06828229874372482
训练次数：4410, Loss: 0.06145898997783661
训练次数：4420, Loss: 0.05914745852351189
训练次数：4430, Loss: 0.2601548135280609
训练次数：4440, Loss: 0.03471742570400238
训练次数：4450, Loss: 0.03576518967747688
训练次数：4460, Loss: 0.13069932162761688
训练次数：4470, Loss: 0.06507699191570282
训练次数：4480, Loss: 0.15148939192295074
训练次数：4490, Loss: 0.09809501469135284
训练次数：4500, Loss: 0.09080171585083008
训练次数：4510, Loss: 0.050557658076286316
训练次数：4520, Loss: 0.09416668862104416
训练次数：4530, Loss: 0.06714333593845367
训练次数：4540, Loss: 0.06982719153165817
训练次数：4550, Loss: 0.05088084936141968
训练次数：4560, Loss: 0.0444812998175621
训练次数：4570, Loss: 0.15559867024421692
训练次数：4580, Loss: 0.04865144565701485
训练次数：4590, Loss: 0.044027864933013916
训练次数：4600, Loss: 0.05054980516433716
训练次数：4610, Loss: 0.09934792667627335
训练次数：4620, Loss: 0.046084173023700714
训练次数：4630, Loss: 0.03919373080134392
训练次数：4640, Loss: 0.21175865828990936
训练次数：4650, Loss: 0.06343463063240051
训练次数：4660, Loss: 0.056434910744428635
训练次数：4670, Loss: 0.05182195082306862
训练次数：4680, Loss: 0.09438732266426086
训练次数：4690, Loss: 0.09556358307600021
训练次数：4700, Loss: 0.023981519043445587
训练次数：4710, Loss: 0.7276644110679626
训练次数：4720, Loss: 0.20691309869289398
训练次数：4730, Loss: 0.15869957208633423
训练次数：4740, Loss: 0.1412665992975235
训练次数：4750, Loss: 0.088829405605793
训练次数：4760, Loss: 0.04869793727993965
训练次数：4770, Loss: 0.10965990275144577
训练次数：4780, Loss: 0.06453658640384674
训练次数：4790, Loss: 0.038228120654821396
训练次数：4800, Loss: 0.033318158239126205
训练次数：4810, Loss: 0.03770254924893379
训练次数：4820, Loss: 0.028051212430000305
训练次数：4830, Loss: 0.12818101048469543
训练次数：4840, Loss: 0.04697708040475845
训练次数：4850, Loss: 0.06357891112565994
训练次数：4860, Loss: 0.12018823623657227
训练次数：4870, Loss: 0.060286443680524826
训练次数：4880, Loss: 0.0653102919459343
训练次数：4890, Loss: 0.044737011194229126
训练次数：4900, Loss: 0.09497977048158646
训练次数：4910, Loss: 0.2036512941122055
训练次数：4920, Loss: 0.046189356595277786
训练次数：4930, Loss: 0.04108097404241562
训练次数：4940, Loss: 0.07107724994421005
训练次数：4950, Loss: 0.05260217562317848
训练次数：4960, Loss: 0.04671963304281235
训练次数：4970, Loss: 0.06964340806007385
训练次数：4980, Loss: 0.09443540871143341
训练次数：4990, Loss: 0.06077875569462776
训练次数：5000, Loss: 0.0509822778403759
训练次数：5010, Loss: 0.12319759279489517
训练次数：5020, Loss: 0.035770975053310394
训练次数：5030, Loss: 0.046178847551345825
训练次数：5040, Loss: 0.2531493306159973
训练次数：5050, Loss: 0.02254106104373932
训练次数：5060, Loss: 0.03947611525654793
训练次数：5070, Loss: 0.06230771914124489
训练次数：5080, Loss: 0.04977269843220711
训练次数：5090, Loss: 0.05661618709564209
训练次数：5100, Loss: 0.06883347779512405
训练次数：5110, Loss: 0.06517162919044495
训练次数：5120, Loss: 0.0654560998082161
训练次数：5130, Loss: 0.058141812682151794
训练次数：5140, Loss: 0.040868110954761505
训练次数：5150, Loss: 0.08288470655679703
训练次数：5160, Loss: 0.04335936903953552
训练次数：5170, Loss: 0.07411830872297287
训练次数：5180, Loss: 0.054547425359487534
训练次数：5190, Loss: 0.03509826585650444
训练次数：5200, Loss: 0.24149292707443237
训练次数：5210, Loss: 0.7677238583564758
训练次数：5220, Loss: 0.04888603091239929
训练次数：5230, Loss: 0.04487963765859604
训练次数：5240, Loss: 0.0497753843665123
训练次数：5250, Loss: 0.0794445350766182
训练次数：5260, Loss: 0.07215660065412521
训练次数：5270, Loss: 0.03572047874331474
训练次数：5280, Loss: 0.04867939278483391
训练次数：5290, Loss: 0.06614115834236145
训练次数：5300, Loss: 0.05044148862361908
训练次数：5310, Loss: 0.11581429094076157
训练次数：5320, Loss: 0.06729442626237869
训练次数：5330, Loss: 0.03764234483242035
训练次数：5340, Loss: 0.08189041912555695
训练次数：5350, Loss: 0.02918289043009281
训练次数：5360, Loss: 0.08689866960048676
训练次数：5370, Loss: 0.05308811739087105
训练次数：5380, Loss: 0.12525683641433716
训练次数：5390, Loss: 0.05480080470442772
训练次数：5400, Loss: 0.032456301152706146
训练次数：5410, Loss: 0.11477348953485489
训练次数：5420, Loss: 0.054773662239313126
训练次数：5430, Loss: 0.07303937524557114
训练次数：5440, Loss: 0.04386003687977791
训练次数：5450, Loss: 0.042102668434381485
训练次数：5460, Loss: 0.06897331774234772
训练次数：5470, Loss: 0.04725634306669235
训练次数：5480, Loss: 0.05904798209667206
训练次数：5490, Loss: 0.1189468502998352
训练次数：5500, Loss: 0.037251733243465424
训练次数：5510, Loss: 0.1374487578868866
训练次数：5520, Loss: 0.08741913735866547
训练次数：5530, Loss: 0.28203046321868896
训练次数：5540, Loss: 0.17559213936328888
训练次数：5550, Loss: 0.05337509885430336
训练次数：5560, Loss: 0.18452033400535583
训练次数：5570, Loss: 0.029230961576104164
训练次数：5580, Loss: 0.13539272546768188
训练次数：5590, Loss: 0.08745808154344559
训练次数：5600, Loss: 0.06316066533327103
训练次数：5610, Loss: 0.03419189155101776
训练次数：5620, Loss: 0.07006915658712387
训练次数：5630, Loss: 0.03687744587659836
训练次数：5640, Loss: 0.058141954243183136
训练次数：5650, Loss: 0.058022890239953995
训练次数：5660, Loss: 0.10694511979818344
训练次数：5670, Loss: 0.08729080855846405
训练次数：5680, Loss: 0.04338765889406204
训练次数：5690, Loss: 0.036904290318489075
训练次数：5700, Loss: 0.14307901263237
训练次数：5710, Loss: 0.04557701572775841
训练次数：5720, Loss: 0.07621864229440689
训练次数：5730, Loss: 0.13304662704467773
训练次数：5740, Loss: 0.03944946825504303
训练次数：5750, Loss: 0.12006504088640213
训练次数：5760, Loss: 0.06296941637992859
训练次数：5770, Loss: 0.08072686940431595
训练次数：5780, Loss: 0.32727837562561035
训练次数：5790, Loss: 0.10503687709569931
训练次数：5800, Loss: 0.18811702728271484
训练次数：5810, Loss: 0.032685428857803345
训练次数：5820, Loss: 0.0508023202419281
训练次数：5830, Loss: 0.16501854360103607
训练次数：5840, Loss: 0.072195865213871
训练次数：5850, Loss: 0.04952297359704971
训练次数：5860, Loss: 0.07921914756298065
训练次数：5870, Loss: 0.10281610488891602
训练次数：5880, Loss: 0.03942149132490158
训练次数：5890, Loss: 0.08409033715724945
训练次数：5900, Loss: 0.051657386124134064
训练次数：5910, Loss: 0.047266505658626556
